security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
LTH,Consumer Discretionary,Leisure and Recreation Services,20__0,20,0.0,7. p90_trade_value,13200.0,13829.999999999998,O:LTH241115C00025000,LTH,C,25.0,2024-11-15,209,0,308,0.75,1729778211785000000,176,13200.0,2024-10-24,3000.0,30,True,Automatic Execution,Consumer Discretionary,Leisure and Recreation Services,24.1,24.33,22.75,23.27,6,4.12057393120585,20,2,1,0,0,0
LTH,Consumer Discretionary,Leisure and Recreation Services,20__0,20,0.0,8. p75_trade_value,7425.0,12450.0,O:LTH241115C00025000,LTH,C,25.0,2024-11-15,209,0,308,0.75,1729778211785000000,99,7425.0,2024-10-24,3000.0,30,True,Automatic Execution,Consumer Discretionary,Leisure and Recreation Services,24.1,24.33,22.75,23.27,15,3.8706964579892498,20,5,1,0,0,0
LTH,Consumer Discretionary,Leisure and Recreation Services,20__0,20,0.0,8. p75_trade_value,7425.0,12450.0,O:LTH241115C00025000,LTH,C,25.0,2024-11-15,209,0,316,0.6,1729777715943000000,150,9000.0,2024-10-24,3000.0,30,True,Automatic Execution,Consumer Discretionary,Leisure and Recreation Services,24.1,24.33,22.75,23.27,11,3.9542425094393248,20,4,1,0,0,0
LTH,Consumer Discretionary,Leisure and Recreation Services,20__0,20,0.0,1. p999999_trade_value,37500.0,37500.0,O:LTH241115C00025000,LTH,C,25.0,2024-11-15,209,0,308,0.75,1729777797087000000,500,37500.0,2024-10-24,3000.0,30,True,Automatic Execution,Consumer Discretionary,Leisure and Recreation Services,24.1,24.33,22.75,23.27,1,4.574031267727719,20,1,1,0,0,0
LTH,Consumer Discretionary,Leisure and Recreation Services,20__0,20,0.0,8. p75_trade_value,7425.0,12450.0,O:LTH241115C00025000,LTH,C,25.0,2024-11-15,209,0,308,0.65,1729777757494000000,150,9750.0,2024-10-24,3000.0,30,True,Automatic Execution,Consumer Discretionary,Leisure and Recreation Services,24.1,24.33,22.75,23.27,10,3.989004615698537,20,4,1,0,0,0
LTH,Consumer Discretionary,Leisure and Recreation Services,20__0,20,0.0,8. p75_trade_value,7425.0,12450.0,O:LTH241115C00025000,LTH,C,25.0,2024-11-15,209,0,316,0.55,1729786542714000000,156,8580.000000000002,2024-10-24,3000.0,30,True,Automatic Execution,Consumer Discretionary,Leisure and Recreation Services,24.1,24.33,22.75,23.27,12,3.9334872878487057,20,4,1,0,0,0
LTH,Consumer Discretionary,Leisure and Recreation Services,20__0,20,0.0,7. p90_trade_value,13200.0,13829.999999999998,O:LTH241115C00025000,LTH,C,25.0,2024-11-15,209,0,325,0.3,1729866185605000000,461,13829.999999999998,2024-10-25,3000.0,30,True,Automatic Execution,Consumer Discretionary,Leisure and Recreation Services,23.14,23.725,23.015,23.51,5,4.140822180109311,20,2,1,0,0,0
LTH,Consumer Discretionary,Leisure and Recreation Services,20__0,20,0.0,8. p75_trade_value,7425.0,12450.0,O:LTH241115C00025000,LTH,C,25.0,2024-11-15,209,0,309,0.3,1729866175839000000,352,10560.0,2024-10-25,3000.0,30,True,Automatic Execution,Consumer Discretionary,Leisure and Recreation Services,23.14,23.725,23.015,23.51,9,4.023663918197793,20,3,1,0,0,0
LTH,Consumer Discretionary,Leisure and Recreation Services,20__0,20,0.0,6. p95_trade_value,15000.0,15000.0,O:LTH241115P00022500,LTH,P,22.5,2024-11-15,209,0,313,0.6,1730125483735000000,250,15000.0,2024-10-28,3000.0,30,True,Automatic Execution,Consumer Discretionary,Leisure and Recreation Services,23.75,23.76,22.99,23.0,3,4.176091259055681,20,1,1,0,0,0
LTH,Consumer Discretionary,Leisure and Recreation Services,20__0,20,0.0,6. p95_trade_value,15000.0,15000.0,O:LTH241115P00022500,LTH,P,22.5,2024-11-15,209,0,313,0.6,1730125483735000000,250,15000.0,2024-10-28,3000.0,30,True,Automatic Execution,Consumer Discretionary,Leisure and Recreation Services,23.75,23.76,22.99,23.0,4,4.176091259055681,20,2,1,0,0,0
LTH,Consumer Discretionary,Leisure and Recreation Services,20__0,20,0.0,6. p95_trade_value,15000.0,15000.0,O:LTH241115P00022500,LTH,P,22.5,2024-11-15,209,0,313,0.6,1730125483808000000,250,15000.0,2024-10-28,3000.0,30,True,Automatic Execution,Consumer Discretionary,Leisure and Recreation Services,23.75,23.76,22.99,23.0,2,4.176091259055681,20,1,1,0,0,0
LTH,Consumer Discretionary,Leisure and Recreation Services,20__0,20,0.0,8. p75_trade_value,7425.0,12450.0,O:LTH241220C00025000,LTH,C,25.0,2024-12-20,219,0,300,0.65,1733505896385000000,179,11635.0,2024-12-06,3000.0,30,True,Intermarket Sweep Order,Consumer Discretionary,Leisure and Recreation Services,24.52,24.66,24.27,24.32,8,4.065766387622749,20,3,0,0,0,1
LTH,Consumer Discretionary,Leisure and Recreation Services,20__0,20,0.0,8. p75_trade_value,7425.0,12450.0,O:LTH241220C00025000,LTH,C,25.0,2024-12-20,209,0,320,0.6,1733504770912000000,135,8100.0,2024-12-06,3000.0,30,True,Automatic Execution,Consumer Discretionary,Leisure and Recreation Services,24.52,24.66,24.27,24.32,13,3.90848501887865,20,5,0,0,0,1
