security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
UL,Consumer Staples,Consumer Products - Staples,20__0,20,0.0,1. p999999_trade_value,42845.0,42845.0,O:UL250117C00057500,UL,C,57.5,2025-01-17,209,0,313,0.95,1734973449273000000,451,42845.0,2024-12-23,3000.0,30,True,Automatic Execution,Consumer Staples,Consumer Products - Staples,57.27,57.33,56.925,57.19,1,4.631900147166808,20,1,1,0,0,0
WDFC,Consumer Staples,Consumer Products - Staples,20__0,20,0.0,6. p95_trade_value,12000.0,14250.0,O:WDFC241018C00260000,WDFC,C,260.0,2024-10-18,209,0,316,9.5,1727106758175000000,15,14250.0,2024-09-23,3000.0,30,True,Automatic Execution,Consumer Staples,Consumer Products - Staples,256.98,259.49,256.405,256.68,2,4.153814864344529,20,1,1,0,0,0
WDFC,Consumer Staples,Consumer Products - Staples,20__0,20,0.0,7. p90_trade_value,10170.0,11900.0,O:WDFC241018P00260000,WDFC,P,260.0,2024-10-18,209,0,303,8.8,1729099182978000000,12,10560.0,2024-10-16,3000.0,30,True,Automatic Execution,Consumer Staples,Consumer Products - Staples,262.89,266.38,262.44,263.65,7,4.023663918197793,20,2,1,1,1,0
WDFC,Consumer Staples,Consumer Products - Staples,20__0,20,0.0,7. p90_trade_value,10170.0,11900.0,O:WDFC241018C00270000,WDFC,C,270.0,2024-10-18,209,0,318,10.4,1729195131884000000,10,10400.0,2024-10-17,3000.0,30,True,Automatic Execution,Consumer Staples,Consumer Products - Staples,264.88,267.71,263.355,264.78,8,4.017033339298781,20,2,0,0,0,1
WDFC,Consumer Staples,Consumer Products - Staples,20__0,20,0.0,7. p90_trade_value,10170.0,11900.0,O:WDFC241115P00260000,WDFC,P,260.0,2024-11-15,209,0,301,11.3,1729194545175000000,9,10170.0,2024-10-17,3000.0,30,True,Automatic Execution,Consumer Staples,Consumer Products - Staples,264.88,267.71,263.355,264.78,9,4.007320952922744,20,2,1,0,0,0
WDFC,Consumer Staples,Consumer Products - Staples,20__0,20,0.0,6. p95_trade_value,12000.0,14250.0,O:WDFC241115C00260000,WDFC,C,260.0,2024-11-15,209,0,320,4.0,1729264656904000000,30,12000.0,2024-10-18,3000.0,30,True,Automatic Execution,Consumer Staples,Consumer Products - Staples,249.72,258.0,247.0,251.25,5,4.079181246047625,20,1,1,1,1,0
WDFC,Consumer Staples,Consumer Products - Staples,20__0,20,0.0,6. p95_trade_value,12000.0,14250.0,O:WDFC250117P00240000,WDFC,P,240.0,2025-01-17,233,0,323,8.0,1734973636066000000,15,12000.0,2024-12-23,3000.0,30,True,Multi Leg Auction,Consumer Staples,Consumer Products - Staples,250.39,250.505,243.75,244.93,4,4.079181246047625,20,1,1,1,1,0
WDFC,Consumer Staples,Consumer Products - Staples,20__0,20,0.0,6. p95_trade_value,12000.0,14250.0,O:WDFC250117C00260000,WDFC,C,260.0,2025-01-17,209,0,320,2.25,1736184966652000000,59,13275.0,2025-01-06,3000.0,30,True,Automatic Execution,Consumer Staples,Consumer Products - Staples,237.84,240.59,232.81,233.0,3,4.1230345297535065,20,1,0,0,0,1
WDFC,Consumer Staples,Consumer Products - Staples,20__0,20,0.0,1. p999999_trade_value,48499.99999999999,48499.99999999999,O:WDFC250417P00230000,WDFC,P,230.0,2025-04-17,209,0,301,9.7,1744053630443000000,50,48499.99999999999,2025-04-07,3000.0,30,True,Automatic Execution,Consumer Staples,Consumer Products - Staples,241.77,246.94,235.6,237.93,1,4.685741738602264,20,1,1,1,1,0
WDFC,Consumer Staples,Consumer Products - Staples,20__0,20,0.0,7. p90_trade_value,10170.0,11900.0,O:WDFC250516C00240000,WDFC,C,240.0,2025-05-16,232,0,312,1.7,1744908771884000000,70,11900.0,2025-04-17,3000.0,30,True,Multi Leg auto-electronic trade,Consumer Staples,Consumer Products - Staples,216.9,224.04,216.74,222.76,6,4.075546961392531,20,2,1,1,1,0
