security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ACI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,1. p999999_trade_value,310000.0,310000.0,0.0,2.0,0.0,0.75,2. BELOW BASELINE,0.0,2.0,0.0
ACI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,5. p99_trade_value,170000.0,100000.0,1.0,4.0,0.25,0.75,2. BELOW BASELINE,1.0,6.0,0.16666666666666666
ACI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,6. p95_trade_value,90000.0,40000.0,5.0,15.0,0.3333333333333333,0.75,2. BELOW BASELINE,6.0,21.0,0.2857142857142857
ACI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,7. p90_trade_value,37740.0,20000.0,9.0,20.0,0.45,0.75,2. BELOW BASELINE,15.0,41.0,0.36585365853658536
ACI,Consumer Staples,Consumer Products - Staples,25__0,25,0.0,8. p75_trade_value,19195.0,8500.0,28.0,62.0,0.45161290322580644,0.75,2. BELOW BASELINE,43.0,103.0,0.4174757281553398
ADM,Consumer Staples,Agriculture - Operations,25__0,25,0.0,1. p999999_trade_value,432000.0,432000.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
ADM,Consumer Staples,Agriculture - Operations,25__0,25,0.0,5. p99_trade_value,220837.5,87418.0,2.0,3.0,0.6666666666666666,0.75,2. BELOW BASELINE,2.0,4.0,0.5
ADM,Consumer Staples,Agriculture - Operations,25__0,25,0.0,6. p95_trade_value,55560.0,16560.0,7.0,13.0,0.5384615384615384,0.75,2. BELOW BASELINE,9.0,17.0,0.5294117647058824
ADM,Consumer Staples,Agriculture - Operations,25__0,25,0.0,7. p90_trade_value,16497.0,11700.0,6.0,16.0,0.375,0.75,2. BELOW BASELINE,15.0,33.0,0.45454545454545453
ADM,Consumer Staples,Agriculture - Operations,25__0,25,0.0,8. p75_trade_value,11499.999999999998,6897.0,21.0,49.0,0.42857142857142855,0.75,2. BELOW BASELINE,36.0,82.0,0.43902439024390244
AGRO,Consumer Staples,Agriculture - Operations,10__0,10,0.0,1. p999999_trade_value,22920.0,22920.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
AGRO,Consumer Staples,Agriculture - Operations,10__0,10,0.0,8. p75_trade_value,4520.0,4520.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,2.0,0.0
AVO,Consumer Staples,Agriculture - Operations,5__0,5,0.0,1. p999999_trade_value,7500.0,7500.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
