security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
BYND,Consumer Staples,Food - Meat Products,25__0,25,0.0,1. p999999_trade_value,176000.0,176000.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
BYND,Consumer Staples,Food - Meat Products,25__0,25,0.0,5. p99_trade_value,135100.00000000003,108665.99999999999,0.0,4.0,0.0,0.75,2. BELOW BASELINE,0.0,5.0,0.0
BYND,Consumer Staples,Food - Meat Products,25__0,25,0.0,6. p95_trade_value,94500.0,21000.0,3.0,20.0,0.15,0.75,2. BELOW BASELINE,3.0,25.0,0.12
BYND,Consumer Staples,Food - Meat Products,25__0,25,0.0,7. p90_trade_value,20678.000000000004,13640.0,8.0,22.0,0.36363636363636365,0.75,2. BELOW BASELINE,11.0,47.0,0.23404255319148937
BYND,Consumer Staples,Food - Meat Products,25__0,25,0.0,8. p75_trade_value,13185.0,6500.0,32.0,70.0,0.45714285714285713,0.75,2. BELOW BASELINE,43.0,117.0,0.36752136752136755
CPB,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,1. p999999_trade_value,312564.0,312564.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
CPB,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,5. p99_trade_value,143166.0,141828.0,2.0,2.0,1.0,0.75,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
CPB,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,6. p95_trade_value,68600.0,40404.0,5.0,8.0,0.625,0.75,2. BELOW BASELINE,7.0,11.0,0.6363636363636364
CPB,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,7. p90_trade_value,40140.0,24895.0,5.0,10.0,0.5,0.75,2. BELOW BASELINE,12.0,21.0,0.5714285714285714
CPB,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,8. p75_trade_value,22555.0,8750.0,14.0,30.0,0.4666666666666667,0.75,2. BELOW BASELINE,26.0,51.0,0.5098039215686274
FRPT,Consumer Staples,Food - Miscellaneous,25__0,25,0.0,1. p999999_trade_value,556050.0,556050.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
