security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,category_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,min_trade_value,expiration_days_out,otm_range,option_condition_name,sector_1,industry_1,securty_open,security_high,security_low,security_close,trade_rank,trade_value_log10,number_of_bins,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
SYF,Finance,Financial - Miscellaneous Services,30__0,30,0.0,7. p90_trade_value,20480.0,38000.0,O:SYF240920P00048000,SYF,P,48.0,2024-09-20,240,0,312,0.8,1725374429475000000,374,29920.0,2024-09-03,3000.0,30,True,Stock Options auto-electronic trade,Finance,Financial - Miscellaneous Services,49.74,49.96,49.0,49.3,54,4.475961589192424,20,2,1,0,0,0
SYF,Finance,Financial - Miscellaneous Services,30__0,30,0.0,7. p90_trade_value,20480.0,38000.0,O:SYF240920C00050000,SYF,C,50.0,2024-09-20,227,0,302,0.6,1726587536867000000,500,30000.0,2024-09-17,3000.0,30,True,Single Leg Auction Non ISO,Finance,Financial - Miscellaneous Services,47.52,49.58,47.52,49.19,52,4.477121254719663,20,2,1,1,1,0
SYF,Finance,Financial - Miscellaneous Services,30__0,30,0.0,6. p95_trade_value,38100.0,106880.0,O:SYF240920C00050000,SYF,C,50.0,2024-09-20,227,0,302,0.6,1726587541960000000,1498,89880.0,2024-09-17,3000.0,30,True,Single Leg Auction Non ISO,Finance,Financial - Miscellaneous Services,47.52,49.58,47.52,49.19,10,4.953663063747091,20,1,1,1,1,0
SYF,Finance,Financial - Miscellaneous Services,30__0,30,0.0,6. p95_trade_value,38100.0,106880.0,O:SYF240920C00050000,SYF,C,50.0,2024-09-20,227,0,302,0.35,1726672753981000000,1198,41929.99999999999,2024-09-18,3000.0,30,True,Single Leg Auction Non ISO,Finance,Financial - Miscellaneous Services,49.33,49.65,48.36,48.89,31,4.622524862403568,20,1,1,1,1,0
SYF,Finance,Financial - Miscellaneous Services,30__0,30,0.0,5. p99_trade_value,107500.0,600000.0,O:SYF240920C00050000,SYF,C,50.0,2024-09-20,241,0,323,0.4,1726685167480000000,7900,316000.0,2024-09-18,3000.0,30,True,Stock Options Cross,Finance,Financial - Miscellaneous Services,49.33,49.65,48.36,48.89,5,5.4996870826184034,20,1,1,1,1,0
SYF,Finance,Financial - Miscellaneous Services,30__0,30,0.0,6. p95_trade_value,38100.0,106880.0,O:SYF240920P00048000,SYF,P,48.0,2024-09-20,229,0,300,0.56,1726675072536000000,1500,84000.00000000001,2024-09-18,3000.0,30,True,Single Leg Cross Non ISO,Finance,Financial - Miscellaneous Services,49.33,49.65,48.36,48.89,13,4.924279286061882,20,1,0,0,0,1
SYF,Finance,Financial - Miscellaneous Services,30__0,30,0.0,7. p90_trade_value,20480.0,38000.0,O:SYF241018C00050000,SYF,C,50.0,2024-10-18,209,0,325,1.42,1727797222493000000,245,34790.0,2024-10-01,3000.0,30,True,Automatic Execution,Finance,Financial - Miscellaneous Services,49.62,49.76,48.28,49.01,41,4.541454428747589,20,2,1,1,1,0
SYF,Finance,Financial - Miscellaneous Services,30__0,30,0.0,6. p95_trade_value,38100.0,106880.0,O:SYF241018P00048000,SYF,P,48.0,2024-10-18,235,0,313,1.26,1727803563999000000,500,63000.0,2024-10-01,3000.0,30,True,Multi Leg floor trade,Finance,Financial - Miscellaneous Services,49.62,49.76,48.28,49.01,19,4.799340549453582,20,1,0,0,0,1
SYF,Finance,Financial - Miscellaneous Services,30__0,30,0.0,7. p90_trade_value,20480.0,38000.0,O:SYF241018C00055000,SYF,C,55.0,2024-10-18,209,0,320,1.2,1729012665050000000,184,22080.0,2024-10-15,3000.0,30,True,Automatic Execution,Finance,Financial - Miscellaneous Services,54.0,54.79,53.18,53.29,61,4.343999069057161,20,2,1,1,1,0
SYF,Finance,Financial - Miscellaneous Services,30__0,30,0.0,1. p999999_trade_value,651525.0,651525.0,O:SYF241115C00060000,SYF,C,60.0,2024-11-15,231,0,323,1.05,1729101462146000000,6205,651525.0,2024-10-16,3000.0,30,True,Single Leg Floor Trade,Finance,Financial - Miscellaneous Services,55.21,56.59,54.01,56.52,1,5.813931084904687,20,1,1,1,1,0
