security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
AMCR,Industrial Products,Containers - Paper and Packaging,10__0,10,0.0,1. p999999_trade_value,11844.000000000002,11844.000000000002,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
AMCR,Industrial Products,Containers - Paper and Packaging,10__0,10,0.0,8. p75_trade_value,7500.0,7500.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,1.0,2.0,0.5
ATR,Industrial Products,Containers - Paper and Packaging,10__3,10,3.0,1. p999999_trade_value,232500.0,232500.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
ATR,Industrial Products,Containers - Paper and Packaging,10__3,10,3.0,8. p75_trade_value,160000.0,160000.0,2.0,2.0,1.0,0.75,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
AVY,Industrial Products,Containers - Paper and Packaging,15__0,15,0.0,1. p999999_trade_value,17760.0,17760.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
AVY,Industrial Products,Containers - Paper and Packaging,15__0,15,0.0,6. p95_trade_value,13679.999999999998,13679.999999999998,1.0,1.0,1.0,0.75,2. BELOW BASELINE,1.0,2.0,0.5
AVY,Industrial Products,Containers - Paper and Packaging,15__0,15,0.0,7. p90_trade_value,8712.0,8712.0,1.0,1.0,1.0,0.75,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
AVY,Industrial Products,Containers - Paper and Packaging,15__0,15,0.0,8. p75_trade_value,7506.0,6000.0,4.0,4.0,1.0,0.75,2. BELOW BASELINE,6.0,7.0,0.8571428571428571
BALL,Industrial Products,Containers - Metal and Glass,15__0,15,0.0,1. p999999_trade_value,266250.0,266250.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
BALL,Industrial Products,Containers - Metal and Glass,15__0,15,0.0,6. p95_trade_value,214319.99999999997,62509.99999999999,0.0,2.0,0.0,0.75,2. BELOW BASELINE,0.0,3.0,0.0
BALL,Industrial Products,Containers - Metal and Glass,15__0,15,0.0,7. p90_trade_value,38750.0,21317.999999999996,1.0,2.0,0.5,0.75,2. BELOW BASELINE,1.0,5.0,0.2
BALL,Industrial Products,Containers - Metal and Glass,15__0,15,0.0,8. p75_trade_value,15000.0,8000.0,3.0,7.0,0.42857142857142855,0.75,2. BELOW BASELINE,4.0,12.0,0.3333333333333333
CCK,Industrial Products,Containers - Metal and Glass,25__2,25,2.0,1. p999999_trade_value,638820.0000000001,638820.0000000001,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
CCK,Industrial Products,Containers - Metal and Glass,25__2,25,2.0,5. p99_trade_value,616680.0,513900.0,0.0,2.0,0.0,0.75,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
CCK,Industrial Products,Containers - Metal and Glass,25__2,25,2.0,6. p95_trade_value,414050.0,38595.0,6.0,12.0,0.5,0.75,2. BELOW BASELINE,7.0,15.0,0.4666666666666667
CCK,Industrial Products,Containers - Metal and Glass,25__2,25,2.0,7. p90_trade_value,38346.0,18096.0,10.0,14.0,0.7142857142857143,0.75,2. BELOW BASELINE,17.0,29.0,0.5862068965517241
CCK,Industrial Products,Containers - Metal and Glass,25__2,25,2.0,8. p75_trade_value,18090.0,8750.0,23.0,42.0,0.5476190476190477,0.75,2. BELOW BASELINE,40.0,71.0,0.5633802816901409
GEF,Industrial Products,Containers - Paper and Packaging,5__0,5,0.0,1. p999999_trade_value,12000.0,12000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
GEF,Industrial Products,Containers - Paper and Packaging,5__0,5,0.0,8. p75_trade_value,8000.0,8000.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,2.0,2.0,1.0
PACK,Industrial Products,Containers - Paper and Packaging,15__0,15,0.0,1. p999999_trade_value,10000.0,10000.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,0.0,1.0,0.0
PACK,Industrial Products,Containers - Paper and Packaging,15__0,15,0.0,6. p95_trade_value,9690.0,9690.0,1.0,1.0,1.0,0.75,2. BELOW BASELINE,1.0,2.0,0.5
PACK,Industrial Products,Containers - Paper and Packaging,15__0,15,0.0,7. p90_trade_value,8750.0,8750.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
PACK,Industrial Products,Containers - Paper and Packaging,15__0,15,0.0,8. p75_trade_value,8000.0,6500.0,0.0,4.0,0.0,0.75,2. BELOW BASELINE,1.0,7.0,0.14285714285714285
PKG,Industrial Products,Containers - Paper and Packaging,20__0,20,0.0,1. p999999_trade_value,46284.0,46284.0,1.0,1.0,1.0,0.75,1. ABOVE BASELINE,1.0,1.0,1.0
PKG,Industrial Products,Containers - Paper and Packaging,20__0,20,0.0,5. p99_trade_value,45750.0,45750.0,0.0,1.0,0.0,0.75,2. BELOW BASELINE,1.0,2.0,0.5
PKG,Industrial Products,Containers - Paper and Packaging,20__0,20,0.0,6. p95_trade_value,41140.0,15120.000000000002,5.0,6.0,0.8333333333333334,0.75,2. BELOW BASELINE,6.0,8.0,0.75
PKG,Industrial Products,Containers - Paper and Packaging,20__0,20,0.0,7. p90_trade_value,14750.0,12900.0,4.0,8.0,0.5,0.75,2. BELOW BASELINE,10.0,16.0,0.625
