security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
AAL,Transportation,Transportation - Airline,0.75,819000.0,4. p999_trade_value,5.0,4099,35__2,35,2.0,14842.8,23839.5,87527.72,816648.0,1012142.4,1127214.24,1138721.42
AER,Transportation,Transportation - Equipment and Leasing,0.75,32130.0,6. p95_trade_value,12.0,239,25__0,25,0.0,14838.4,31900.5,210004.44,302505.0,313750.5,314875.05,314987.51
AIOT,Transportation,Transportation - Services,0.75,,,,22,15__0,15,0.0,79818.0,89526.0,107775.0,112027.5,112452.75,112495.28,112499.53
AL,Transportation,Transportation - Equipment and Leasing,0.75,16000.0,1. p999999_trade_value,1.0,26,15__0,15,0.0,9495.0,11062.5,14875.0,15887.5,15988.75,15998.88,15999.89
ALGT,Transportation,Transportation - Airline,0.75,26000.0,6. p95_trade_value,4.0,63,20__0,20,0.0,21861.0,25956.0,35995.6,37457.56,37603.76,37618.38,37619.84
ALK,Transportation,Transportation - Airline,0.75,,,,703,30__1,30,1.0,18531.0,38152.5,386346.4,1165234.0,1691523.4,1744152.34,1749415.23
ARCB,Transportation,Transportation - Truck,0.75,468000.0,1. p999999_trade_value,1.0,44,15__0,15,0.0,10971.0,29008.6,326960.0,453896.0,466589.6,467858.96,467985.9
ASC,Transportation,Transportation - Shipping,0.75,4428.0,8. p75_trade_value,3.0,10,10__0,10,0.0,4517.6,4758.8,4951.76,4995.18,4999.52,4999.95,5000.0
CAAP,Transportation,Transportation - Airline,0.75,6000.0,1. p999999_trade_value,2.0,5,5__0,5,0.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0
CAR,Transportation,Transportation - Services,0.75,,,,3521,35__0,35,0.0,14000.0,23680.0,70409.6,486200.0,998768.0,1059276.8,1065327.68
CHRW,Transportation,Transportation - Services,0.75,229860.0,5. p99_trade_value,3.0,267,25__2,25,2.0,22491.0,35418.0,197586.0,670720.0,809572.0,823457.2,824845.72
CMBT,Transportation,Transportation - Shipping,0.75,3250.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0
CNI,Transportation,Transportation - Rail,0.75,,,,53,15__0,15,0.0,10170.8,12443.0,36253.6,53075.86,54758.09,54926.31,54943.13
CP,Transportation,Transportation - Rail,0.75,,,,317,25__0,25,0.0,12214.0,33940.8,135082.56,586727.3,647610.23,653698.52,654307.35
CPA,Transportation,Transportation - Airline,0.75,,,,65,20__0,20,0.0,11210.4,15266.0,30198.4,52915.84,55187.58,55414.76,55437.48
CSX,Transportation,Transportation - Rail,0.75,,,,231,25__0,25,0.0,19600.0,60637.5,98548.8,346350.0,399135.0,404413.5,404941.35
CYRX,Transportation,Transportation - Services,0.75,3690.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3690.0,3690.0,3690.0,3690.0,3690.0,3690.0,3690.0
DAC,Transportation,Transportation - Shipping,0.75,5050.0,8. p75_trade_value,4.0,16,10__0,10,0.0,5250.0,6375.0,8715.0,9241.5,9294.15,9299.42,9299.94
DAL,Transportation,Transportation - Airline,0.75,,,,6935,40__0,40,0.0,15274.8,24683.8,82842.36,701012.4,1488997.09,1813762.91,1846239.49
DHT,Transportation,Transportation - Shipping,0.75,,,,50,15__0,15,0.0,12594.2,14527.5,55863.42,59586.34,59958.63,59995.86,59999.59
DSX,Transportation,Transportation - Shipping,0.75,,,,1,0__2,0,2.0,6980.0,6980.0,6980.0,6980.0,6980.0,6980.0,6980.0
EXPD,Transportation,Transportation - Services,0.75,,,,12,10__3,10,3.0,104066.0,132956.5,154679.3,159566.93,160055.69,160104.57,160109.46
FDX,Transportation,Transportation - Air Freight and Cargo,0.75,,,,16116,40__0,40,0.0,15000.0,22210.0,55327.5,275947.86,785284.58,1269027.8,1331102.78
FLNG,Transportation,Transportation - Shipping,0.75,,,,22,15__0,15,0.0,13614.8,18004.8,35362.16,39464.22,39874.42,39915.44,39919.54
FRO,Transportation,Transportation - Shipping,0.75,,,,273,25__0,25,0.0,18747.0,41886.0,179883.2,210000.0,210000.0,210000.0,210000.0
FWRD,Transportation,Transportation - Truck,0.75,,,,599,30__2,30,2.0,11130.0,19953.0,120000.0,332260.44,343681.04,344823.1,344937.31
GATX,Transportation,Transportation - Equipment and Leasing,0.75,3020.0,1. p999999_trade_value,1.0,1,0__2,0,2.0,3020.0,3020.0,3020.0,3020.0,3020.0,3020.0,3020.0
GBX,Transportation,Transportation - Equipment and Leasing,0.75,50745.0,1. p999999_trade_value,1.0,17,10__0,10,0.0,8583.0,17541.0,44104.2,50080.92,50678.59,50738.36,50744.34
GNK,Transportation,Transportation - Shipping,0.75,,,,5,5__0,5,0.0,4380.0,4690.0,4938.0,4993.8,4999.38,4999.94,4999.99
GOGL,Transportation,Transportation - Shipping,0.75,18400.0,7. p90_trade_value,5.0,42,15__0,15,0.0,18225.0,20395.0,27478.7,29297.87,29479.79,29497.98,29499.8
GSL,Transportation,Transportation - Shipping,0.75,,,,7,10__0,10,0.0,35240.8,36049.9,36697.18,36842.82,36857.38,36858.84,36858.98
GXO,Transportation,Transportation - Air Freight and Cargo,0.75,,,,180,25__0,25,0.0,12219.0,19949.0,171088.85,180369.62,181386.96,181488.7,181498.87
HRI,Transportation,Transportation - Equipment and Leasing,0.75,,,,80,20__0,20,0.0,19415.0,22172.5,26110.8,28585.08,28832.51,28857.25,28859.73
HTZ,Transportation,Transportation - Services,0.75,,,,1038,30__1,30,1.0,17486.0,28950.7,97500.0,885012.78,1392965.0,1444296.5,1449429.65
IMPP,Transportation,Transportation - Shipping,0.75,,,,1,0__2,0,2.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0
INSW,Transportation,Transportation - Shipping,0.75,10000.0,8. p75_trade_value,9.0,31,15__0,15,0.0,11500.0,12250.0,12850.0,12985.0,12998.5,12999.85,12999.98
JBHT,Transportation,Transportation - Truck,0.75,585000.0,1. p999999_trade_value,1.0,311,25__2,25,2.0,21315.0,71910.0,174654.0,501300.0,576630.0,584163.0,584916.3
JBLU,Transportation,Transportation - Airline,0.75,,,,588,30__2,30,2.0,9908.2,12998.6,27617.72,61640.67,71990.07,73025.01,73128.5
JOBY,Transportation,Transportation - Airline,0.75,171100.0,1. p999999_trade_value,1.0,563,30__2,30,2.0,12487.0,19795.0,34795.0,122711.8,166261.18,170616.12,171051.61
KEX,Transportation,Transportation - Shipping,0.75,34980.0,7. p90_trade_value,3.0,30,15__0,15,0.0,20760.0,37741.0,110432.0,136323.2,138912.32,139171.23,139197.12
KNX,Transportation,Transportation - Truck,0.75,,,,297,25__2,25,2.0,29688.0,72143.2,170298.4,311915.88,328191.59,329819.16,329981.92
LPG,Transportation,Transportation - Shipping,0.75,7989.999999999999,7. p90_trade_value,3.0,24,15__0,15,0.0,7930.0,11917.0,16991.3,18169.13,18286.91,18298.69,18299.87
LSTR,Transportation,Transportation - Truck,0.75,443680.0,1. p999999_trade_value,1.0,28,15__0,15,0.0,11500.0,38287.5,336846.4,432996.64,442611.66,443573.17,443669.32
LUV,Transportation,Transportation - Airline,0.75,122256.0,5. p99_trade_value,19.0,1825,35__2,35,2.0,21780.0,39620.0,122194.56,398926.4,463108.2,469310.82,469931.08
MATX,Transportation,Transportation - Services,0.75,544439.0,1. p999999_trade_value,1.0,72,20__2,20,2.0,43905.0,189779.25,537686.19,543763.72,544371.47,544432.25,544438.32
MRTN,Transportation,Transportation - Truck,0.75,3660.0,1. p999999_trade_value,2.0,2,5__0,5,0.0,3660.0,3660.0,3660.0,3660.0,3660.0,3660.0,3660.0
NAT,Transportation,Transportation - Shipping,0.75,,,,1,0__2,0,2.0,4490.0,4490.0,4490.0,4490.0,4490.0,4490.0,4490.0
NMM,Transportation,Transportation - Shipping,0.75,33750.0,5. p99_trade_value,2.0,168,20__0,20,0.0,11000.0,11958.0,29850.6,34791.25,34979.13,34997.91,34999.79
NSC,Transportation,Transportation - Rail,0.75,363599.99999999994,1. p999999_trade_value,1.0,267,25__0,25,0.0,19228.0,38955.0,173622.4,341362.4,361376.24,363377.62,363577.76
NVGS,Transportation,Transportation - Shipping,0.75,,,,4,5__3,5,3.0,11727.0,13356.0,14659.2,14952.42,14981.74,14984.67,14984.97
ODFL,Transportation,Transportation - Truck,0.75,400000.0,1. p999999_trade_value,1.0,496,25__0,25,0.0,17490.0,29277.5,93775.0,317830.0,391783.0,399178.3,399917.83
OMEX,Transportation,Transportation - Shipping,0.75,40500.0,1. p999999_trade_value,1.0,153,20__0,20,0.0,10144.0,14096.0,31346.8,39259.68,40375.97,40487.6,40498.76
PONY,Transportation,Transportation - Equipment and Leasing,0.75,,,,1260,30__2,30,2.0,15294.8,25840.7,60000.0,167050.0,204474.8,207647.48,207964.75
R,Transportation,Transportation - Equipment and Leasing,0.75,25480.0,1. p999999_trade_value,1.0,30,15__0,15,0.0,11234.0,18960.0,25050.8,25437.08,25475.71,25479.57,25479.96
RAIL,Transportation,Transportation - Equipment and Leasing,0.75,13000.0,1. p999999_trade_value,1.0,8,10__0,10,0.0,7834.0,10417.0,12483.4,12948.34,12994.83,12999.48,12999.95
